city,model,n,bias,sigma,a,b
Panama City,ukmo_seamless,595,-1.424,1.507,0.718,0.2859
Panama City,jma_seamless,695,-2.233,1.304,0.652,0.2597
Panama City,ecmwf_ifs025,695,-1.935,1.314,0.728,0.2098
Panama City,ensemble_mean,595,-1.267,1.146,0.759,0.1442
Ankara,gfs_seamless,700,-0.522,1.498,0.778,0.2660
Ankara,icon_seamless,700,-0.751,1.290,0.778,0.1961
Ankara,ukmo_seamless,599,-1.275,1.724,0.848,0.2859
Ankara,jma_seamless,700,-0.917,1.637,0.884,0.2597
Ankara,ecmwf_ifs025,700,-0.658,1.504,0.888,0.2098
Ankara,ensemble_mean,599,-0.843,1.197,0.833,0.1442
Jeddah,gfs_seamless,700,-1.384,1.385,0.063,0.2660
Jeddah,icon_seamless,700,-2.803,3.102,1.448,0.1961
Jeddah,ukmo_seamless,599,-0.245,2.064,0.270,0.2859
Jeddah,jma_seamless,700,-5.911,2.351,0.960,0.2597
Jeddah,ecmwf_ifs025,700,0.569,1.565,0.546,0.2098
Jeddah,ensemble_mean,599,-2.050,1.475,0.426,0.1442
