city,model,n,bias,sigma,a,b
Cape Town,gfs_seamless,40,0.695,2.024,1.354,0.1550
Cape Town,icon_seamless,40,0.037,1.560,1.155,0.0852
Cape Town,ukmo_seamless,40,-0.668,1.510,0.932,0.1236
Cape Town,jma_seamless,40,-1.650,1.525,0.884,0.1478
Cape Town,ecmwf_ifs025,40,-0.680,1.409,0.902,0.1333
Cape Town,ensemble_mean,40,-0.453,1.364,0.928,0.0894
Mexico City,gfs_seamless,40,1.177,1.546,1.115,0.1550
Mexico City,icon_seamless,40,0.832,1.148,0.920,0.0852
Mexico City,ukmo_seamless,40,0.325,1.302,0.987,0.1236
Mexico City,jma_seamless,40,-1.122,1.508,1.134,0.1478
Mexico City,ecmwf_ifs025,40,-0.227,1.434,1.010,0.1333
Mexico City,ensemble_mean,40,0.197,1.153,0.921,0.0894
Buenos Aires,gfs_seamless,40,-0.835,1.527,1.202,0.1550
Buenos Aires,icon_seamless,40,-0.980,1.337,1.163,0.0852
Buenos Aires,ukmo_seamless,40,-1.365,1.420,1.177,0.1236
Buenos Aires,jma_seamless,40,-1.165,1.381,1.078,0.1478
Buenos Aires,ecmwf_ifs025,40,-0.885,1.437,1.044,0.1333
Buenos Aires,ensemble_mean,40,-1.046,1.261,1.070,0.0894
Sao Paulo,gfs_seamless,40,-0.368,1.180,0.845,0.1550
Sao Paulo,icon_seamless,40,-0.605,1.245,1.024,0.0852
Sao Paulo,ukmo_seamless,40,-1.613,1.221,0.900,0.1236
Sao Paulo,jma_seamless,40,-1.995,1.367,1.072,0.1478
Sao Paulo,ecmwf_ifs025,40,-0.550,1.068,0.807,0.1333
Sao Paulo,ensemble_mean,40,-1.026,0.972,0.813,0.0894
Taipei,gfs_seamless,40,-1.635,1.608,1.058,0.1550
Taipei,icon_seamless,40,-1.322,1.669,1.332,0.0852
Taipei,ukmo_seamless,40,-1.292,1.457,1.081,0.1236
Taipei,jma_seamless,40,-2.625,1.715,1.167,0.1478
Taipei,ecmwf_ifs025,40,-1.840,1.767,1.271,0.1333
Taipei,ensemble_mean,40,-1.743,1.345,1.030,0.0894
Tel Aviv,gfs_seamless,40,0.327,0.732,0.385,0.1550
Tel Aviv,icon_seamless,40,-0.095,0.620,0.444,0.0852
Tel Aviv,ukmo_seamless,40,0.735,0.588,0.394,0.1236
Tel Aviv,jma_seamless,40,-0.022,0.787,0.480,0.1478
Tel Aviv,ecmwf_ifs025,40,1.555,0.632,0.394,0.1333
Tel Aviv,ensemble_mean,40,0.500,0.500,0.338,0.0894
Toronto,gfs_seamless,40,0.475,1.537,0.887,0.1550
Toronto,icon_seamless,40,-0.102,1.285,0.882,0.0852
Toronto,ukmo_seamless,40,1.042,1.341,0.669,0.1236
Toronto,jma_seamless,40,-4.127,2.298,1.511,0.1478
Toronto,ecmwf_ifs025,40,0.145,1.735,1.149,0.1333
Toronto,ensemble_mean,40,-0.513,1.269,0.830,0.0894
Wuhan,gfs_seamless,40,-0.597,1.518,0.950,0.1550
Wuhan,icon_seamless,40,-1.318,1.280,1.004,0.0852
Wuhan,ukmo_seamless,40,0.115,1.238,0.777,0.1236
Wuhan,jma_seamless,40,0.042,2.038,1.528,0.1478
Wuhan,ecmwf_ifs025,40,-0.943,1.531,1.137,0.1333
Wuhan,ensemble_mean,40,-0.540,1.146,0.873,0.0894
Panama City,gfs_seamless,40,-0.852,1.219,0.759,0.1550
Panama City,icon_seamless,40,0.142,1.244,0.906,0.0852
Panama City,ukmo_seamless,40,-0.360,1.432,1.010,0.1236
Panama City,jma_seamless,40,-2.302,1.406,0.828,0.1478
Panama City,ecmwf_ifs025,40,-1.682,1.526,0.987,0.1333
Panama City,ensemble_mean,40,-1.011,1.029,0.718,0.0894
