city,model,n,bias,sigma,a,b
Chengdu,icon_seamless,698,-0.928,1.720,1.100,0.1832
Chengdu,ukmo_seamless,529,-0.524,1.896,1.091,0.2764
Chengdu,jma_seamless,700,-1.312,2.283,1.293,0.2377
Chengdu,ecmwf_ifs025,700,-0.570,1.767,1.186,0.1780
Chengdu,ensemble_mean,527,-0.876,1.479,1.080,0.1403
Karachi,gfs_seamless,700,-1.024,1.482,0.676,0.2380
Karachi,icon_seamless,698,-0.421,1.402,0.652,0.1832
Karachi,ukmo_seamless,529,0.407,1.991,0.715,0.2764
Karachi,jma_seamless,700,-1.261,1.580,0.842,0.2377
Karachi,ecmwf_ifs025,700,0.249,1.581,0.956,0.1780
Karachi,ensemble_mean,527,-0.421,1.070,0.589,0.1403
Jeddah,gfs_seamless,700,-1.464,1.327,0.015,0.2380
Jeddah,icon_seamless,698,-2.768,3.074,1.497,0.1832
Jeddah,ukmo_seamless,528,-0.480,1.944,0.166,0.2764
Jeddah,jma_seamless,700,-5.912,2.349,1.139,0.2377
Jeddah,ecmwf_ifs025,700,0.639,1.519,0.652,0.1780
Jeddah,ensemble_mean,526,-2.069,1.393,0.427,0.1403
Ankara,gfs_seamless,700,-0.616,1.384,0.788,0.2380
Ankara,icon_seamless,700,-0.769,1.114,0.699,0.1832
Ankara,ukmo_seamless,528,-1.267,1.760,0.795,0.2764
Ankara,jma_seamless,700,-0.872,1.587,0.950,0.2377
Ankara,ecmwf_ifs025,700,-0.761,1.344,0.901,0.1780
Ankara,ensemble_mean,528,-0.837,1.173,0.807,0.1403
Helsinki,gfs_seamless,700,-0.266,1.530,0.915,0.2380
Helsinki,icon_seamless,700,-0.664,1.108,0.692,0.1832
Helsinki,ukmo_seamless,528,-0.661,1.327,0.620,0.2764
Helsinki,jma_seamless,700,-0.639,1.361,0.776,0.2377
Helsinki,ecmwf_ifs025,700,-0.888,1.437,0.996,0.1780
Helsinki,ensemble_mean,528,-0.594,1.131,0.773,0.1403
London,gfs_seamless,700,-0.116,1.368,0.763,0.2380
London,icon_seamless,700,-0.127,1.069,0.659,0.1832
London,ukmo_seamless,685,0.086,1.292,0.635,0.2764
London,jma_seamless,700,-1.115,1.526,0.872,0.2377
London,ecmwf_ifs025,700,-0.382,1.199,0.759,0.1780
London,ensemble_mean,685,-0.327,1.016,0.678,0.1403
Paris,gfs_seamless,700,0.007,1.604,0.877,0.2380
Paris,icon_seamless,700,-0.087,1.121,0.682,0.1832
Paris,ukmo_seamless,685,0.015,1.216,0.594,0.2764
Paris,jma_seamless,700,-1.293,1.620,0.881,0.2377
Paris,ecmwf_ifs025,700,-0.807,1.259,0.789,0.1780
Paris,ensemble_mean,685,-0.427,1.049,0.690,0.1403
Madrid,gfs_seamless,700,-0.596,1.217,0.641,0.2380
Madrid,icon_seamless,700,-0.662,1.131,0.676,0.1832
Madrid,ukmo_seamless,530,-1.255,1.771,0.733,0.2764
Madrid,jma_seamless,700,-1.418,1.523,0.861,0.2377
Madrid,ecmwf_ifs025,700,-0.651,1.213,0.712,0.1780
Madrid,ensemble_mean,530,-0.853,1.086,0.686,0.1403
Milan,gfs_seamless,700,-1.220,1.564,0.844,0.2380
Milan,icon_seamless,700,-0.264,1.267,0.793,0.1832
Milan,ukmo_seamless,685,-0.417,1.537,0.733,0.2764
Milan,jma_seamless,700,-1.720,1.725,0.998,0.2377
Milan,ecmwf_ifs025,700,-1.004,1.441,0.939,0.1780
Milan,ensemble_mean,685,-0.925,1.189,0.802,0.1403
Munich,gfs_seamless,700,-0.773,2.315,1.356,0.2380
Munich,icon_seamless,700,-0.501,1.376,0.793,0.1832
Munich,ukmo_seamless,530,-0.863,1.958,0.883,0.2764
Munich,jma_seamless,700,-1.198,2.179,1.257,0.2377
Munich,ecmwf_ifs025,700,-0.552,1.878,1.189,0.1780
Munich,ensemble_mean,530,-0.730,1.600,1.076,0.1403
Amsterdam,gfs_seamless,700,0.161,1.353,0.700,0.2380
Amsterdam,icon_seamless,700,-0.187,1.037,0.593,0.1832
Amsterdam,ukmo_seamless,685,-0.117,1.096,0.452,0.2764
Amsterdam,jma_seamless,700,-1.432,1.763,1.048,0.2377
Amsterdam,ecmwf_ifs025,700,-0.787,1.090,0.627,0.1780
Amsterdam,ensemble_mean,685,-0.469,0.944,0.582,0.1403
Warsaw,gfs_seamless,700,0.036,1.636,0.840,0.2380
Warsaw,icon_seamless,700,-0.512,1.155,0.674,0.1832
Warsaw,ukmo_seamless,530,-0.673,1.622,0.780,0.2764
Warsaw,jma_seamless,700,-1.117,1.746,1.061,0.2377
Warsaw,ecmwf_ifs025,700,-0.671,1.318,0.810,0.1780
Warsaw,ensemble_mean,530,-0.548,1.144,0.767,0.1403
Cape Town,gfs_seamless,677,0.602,1.645,0.806,0.2380
Cape Town,icon_seamless,675,-0.119,1.420,0.722,0.1832
Cape Town,ukmo_seamless,513,0.213,1.782,0.770,0.2764
Cape Town,jma_seamless,677,-1.939,1.626,0.827,0.2377
Cape Town,ecmwf_ifs025,677,-0.357,1.513,0.830,0.1780
Cape Town,ensemble_mean,511,-0.320,1.191,0.675,0.1403
Mexico City,gfs_seamless,700,0.299,1.370,0.566,0.2380
Mexico City,icon_seamless,697,-0.519,1.291,0.730,0.1832
Mexico City,ukmo_seamless,529,-0.194,1.611,0.430,0.2764
Mexico City,jma_seamless,700,-1.357,1.298,0.571,0.2377
Mexico City,ecmwf_ifs025,700,0.293,1.379,0.816,0.1780
Mexico City,ensemble_mean,526,-0.324,0.965,0.555,0.1403
Buenos Aires,gfs_seamless,700,0.061,2.216,1.360,0.2380
Buenos Aires,icon_seamless,697,-0.939,1.473,0.839,0.1832
Buenos Aires,ukmo_seamless,529,-0.632,1.686,0.762,0.2764
Buenos Aires,jma_seamless,700,-1.521,1.892,1.011,0.2377
Buenos Aires,ecmwf_ifs025,700,-0.871,1.536,0.892,0.1780
Buenos Aires,ensemble_mean,526,-0.846,1.336,0.870,0.1403
Sao Paulo,gfs_seamless,700,-0.034,1.826,1.006,0.2380
Sao Paulo,icon_seamless,697,-0.444,1.621,1.001,0.1832
Sao Paulo,ukmo_seamless,529,-1.369,2.006,0.810,0.2764
Sao Paulo,jma_seamless,700,-2.526,1.842,1.028,0.2377
Sao Paulo,ecmwf_ifs025,700,-0.672,1.650,1.033,0.1780
Sao Paulo,ensemble_mean,526,-1.011,1.469,0.931,0.1403
Taipei,gfs_seamless,700,-0.294,2.410,1.945,0.2380
Taipei,icon_seamless,698,-0.957,2.451,2.095,0.1832
Taipei,ukmo_seamless,529,-0.504,2.471,1.733,0.2764
Taipei,jma_seamless,700,-1.381,2.467,1.996,0.2377
Taipei,ecmwf_ifs025,700,-0.492,2.487,2.157,0.1780
Taipei,ensemble_mean,527,-0.542,2.377,1.996,0.1403
Tel Aviv,gfs_seamless,700,-0.461,1.181,0.764,0.2380
Tel Aviv,icon_seamless,700,-0.451,0.980,0.691,0.1832
Tel Aviv,ukmo_seamless,528,-0.523,1.474,0.749,0.2764
Tel Aviv,jma_seamless,700,-0.822,1.358,0.874,0.2377
Tel Aviv,ecmwf_ifs025,700,0.265,1.498,1.201,0.1780
Tel Aviv,ensemble_mean,528,-0.402,1.108,0.838,0.1403
Toronto,gfs_seamless,700,-0.304,1.687,0.837,0.2380
Toronto,icon_seamless,697,-0.740,1.477,0.811,0.1832
Toronto,ukmo_seamless,529,-0.402,1.705,0.682,0.2764
Toronto,jma_seamless,700,-2.632,2.612,1.515,0.2377
Toronto,ecmwf_ifs025,700,-0.563,1.674,0.986,0.1780
Toronto,ensemble_mean,526,-0.919,1.313,0.783,0.1403
Wuhan,gfs_seamless,700,0.019,1.654,0.940,0.2380
Wuhan,icon_seamless,698,-0.593,1.387,0.865,0.1832
Wuhan,ukmo_seamless,529,-0.447,2.165,1.044,0.2764
Wuhan,jma_seamless,700,0.092,2.458,1.574,0.2377
Wuhan,ecmwf_ifs025,700,-0.231,1.834,1.308,0.1780
Wuhan,ensemble_mean,527,-0.239,1.534,1.084,0.1403
Panama City,gfs_seamless,695,-0.364,1.612,0.910,0.2380
Panama City,icon_seamless,692,-0.098,1.269,0.830,0.1832
Panama City,ukmo_seamless,524,-1.039,1.500,0.765,0.2764
Panama City,jma_seamless,695,-2.162,1.227,0.685,0.2377
Panama City,ecmwf_ifs025,695,-1.840,1.232,0.822,0.1780
Panama City,ensemble_mean,521,-1.110,1.101,0.756,0.1403
