city,model,n,bias,sigma,a,b
Mexico City,gfs_seamless,40,0.990,1.640,1.219,0.1434
Mexico City,icon_seamless,40,0.943,1.372,0.941,0.1362
Mexico City,ukmo_seamless,40,-0.125,1.327,0.920,0.1584
Mexico City,jma_seamless,40,-1.302,1.407,0.946,0.1457
Mexico City,ecmwf_ifs025,40,-0.463,1.278,0.834,0.1443
Mexico City,ensemble_mean,40,0.008,1.153,0.871,0.1039
Buenos Aires,gfs_seamless,40,-0.828,1.481,1.086,0.1434
Buenos Aires,icon_seamless,40,-1.225,1.573,1.191,0.1362
Buenos Aires,ukmo_seamless,40,-1.652,1.737,1.330,0.1584
Buenos Aires,jma_seamless,40,-1.345,1.565,1.193,0.1457
Buenos Aires,ecmwf_ifs025,40,-1.067,1.525,1.067,0.1443
Buenos Aires,ensemble_mean,40,-1.223,1.406,1.118,0.1039
Sao Paulo,gfs_seamless,40,-0.270,1.057,0.664,0.1434
Sao Paulo,icon_seamless,40,-0.348,1.268,0.896,0.1362
Sao Paulo,ukmo_seamless,40,-1.617,1.626,1.114,0.1584
Sao Paulo,jma_seamless,40,-2.062,1.665,1.101,0.1457
Sao Paulo,ecmwf_ifs025,40,-0.757,1.186,0.805,0.1443
Sao Paulo,ensemble_mean,40,-1.011,1.043,0.758,0.1039
Taipei,gfs_seamless,40,-1.270,1.526,1.123,0.1434
Taipei,icon_seamless,40,-1.100,1.977,1.351,0.1362
Taipei,ukmo_seamless,40,-1.222,1.890,1.246,0.1584
Taipei,jma_seamless,40,-2.265,2.196,1.620,0.1457
Taipei,ecmwf_ifs025,40,-2.045,1.810,1.228,0.1443
Taipei,ensemble_mean,40,-1.581,1.494,1.110,0.1039
Tel Aviv,gfs_seamless,40,0.577,0.727,0.448,0.1434
Tel Aviv,icon_seamless,40,-0.160,0.583,0.368,0.1362
Tel Aviv,ukmo_seamless,40,0.715,0.584,0.348,0.1584
Tel Aviv,jma_seamless,40,-0.165,0.907,0.593,0.1457
Tel Aviv,ecmwf_ifs025,40,1.527,0.659,0.427,0.1443
Tel Aviv,ensemble_mean,40,0.499,0.527,0.355,0.1039
Toronto,gfs_seamless,40,-0.165,2.057,1.227,0.1434
Toronto,icon_seamless,40,0.258,1.490,0.765,0.1362
Toronto,ukmo_seamless,40,1.022,1.595,0.708,0.1584
Toronto,jma_seamless,40,-4.020,2.274,1.345,0.1457
Toronto,ecmwf_ifs025,40,0.290,2.010,1.178,0.1443
Toronto,ensemble_mean,40,-0.523,1.477,0.831,0.1039
Wuhan,gfs_seamless,40,-0.500,1.727,1.201,0.1434
Wuhan,icon_seamless,40,-1.360,1.791,1.246,0.1362
Wuhan,ukmo_seamless,40,0.485,1.771,1.118,0.1584
Wuhan,jma_seamless,40,0.218,2.661,2.014,0.1457
Wuhan,ecmwf_ifs025,40,-0.570,1.944,1.357,0.1443
Wuhan,ensemble_mean,40,-0.345,1.555,1.152,0.1039
Panama City,gfs_seamless,40,-1.485,1.298,0.783,0.1434
Panama City,icon_seamless,40,0.123,1.437,0.834,0.1362
Panama City,ukmo_seamless,40,-0.872,1.565,1.028,0.1584
Panama City,jma_seamless,40,-2.607,1.460,0.844,0.1457
Panama City,ecmwf_ifs025,40,-1.777,1.490,0.863,0.1443
Panama City,ensemble_mean,40,-1.324,1.132,0.692,0.1039
